benchmark_idx,corpus_type,pass,prompt_tokens,completion_tokens,cost_usd
0,climate,pass1,1937,1549,0.020332500000000003
0,climate,pass3,1624,1422,0.01828
0,climate,pass4,1925,1068,0.015492500000000001
1,climate,pass1,2099,1436,0.0196075
1,climate,pass3,1786,1380,0.018265000000000003
1,climate,pass4,2087,981,0.015027500000000003
2,climate,pass1,2878,1535,0.022545000000000003
2,climate,pass3,2565,1399,0.0204025
2,climate,pass4,2866,1101,0.018175
3,climate,pass1,2728,1524,0.022060000000000003
3,climate,pass3,2415,1414,0.0201775
3,climate,pass4,2716,1059,0.01738
4,climate,pass1,2100,1492,0.02017
4,climate,pass3,1787,1401,0.0184775
4,climate,pass4,2088,1053,0.01575
5,climate,pass1,2909,1504,0.022312500000000002
5,climate,pass3,2596,1430,0.020790000000000003
5,climate,pass4,2897,1052,0.0177625
6,climate,pass1,2449,1422,0.020342500000000003
6,climate,pass3,2136,1477,0.020110000000000003
6,climate,pass4,2437,1028,0.0163725
7,climate,pass1,3735,1488,0.024217500000000003
7,climate,pass3,3422,1400,0.022555
7,climate,pass4,3723,1187,0.021177500000000002
8,climate,pass1,2094,1540,0.020635
8,climate,pass3,1781,1349,0.0179425
8,climate,pass4,2082,1070,0.015905000000000002
9,climate,pass1,2341,1459,0.020442500000000002
9,climate,pass3,2028,1445,0.019520000000000003
9,climate,pass4,2329,1013,0.0159525
10,climate,pass1,2326,1536,0.021175000000000003
10,climate,pass3,2013,1455,0.019582500000000003
10,climate,pass4,2314,1049,0.016275
11,climate,pass1,2103,1504,0.020297500000000003
11,climate,pass3,1790,1452,0.018995
11,climate,pass4,2091,1043,0.0156575
12,climate,pass1,2224,1527,0.02083
12,climate,pass3,1911,1470,0.019477500000000002
12,climate,pass4,2212,1114,0.01667
13,intersection,pass1,1744,1456,0.018920000000000003
13,intersection,pass2,1091,988,0.012607500000000002
13,intersection,pass3,1431,1408,0.0176575
13,intersection,pass4,1732,1119,0.01552
14,climate,pass1,1920,1524,0.020040000000000002
14,climate,pass3,1607,1333,0.017347500000000002
14,climate,pass4,1908,1030,0.01507
15,climate,pass1,1908,1465,0.019420000000000003
15,climate,pass3,1595,1402,0.018007500000000003
15,climate,pass4,1896,1093,0.01567
16,climate,pass1,1996,1526,0.02025
16,climate,pass3,1683,1396,0.018167500000000003
16,climate,pass4,1984,1027,0.01523
17,climate,pass1,2409,1497,0.0209925
17,climate,pass3,2096,1426,0.019500000000000003
17,climate,pass4,2397,1058,0.0165725
18,climate,pass1,2787,1470,0.021667500000000003
18,climate,pass3,2474,1417,0.020355
18,climate,pass4,2775,1063,0.0175675
19,climate,pass1,4529,1519,0.0265125
19,climate,pass3,4216,1381,0.024350000000000004
19,climate,pass4,4517,1030,0.0215925
20,climate,pass1,2480,1556,0.02176
20,climate,pass3,2167,1413,0.019547500000000002
20,climate,pass4,2468,1071,0.01688
21,climate,pass1,2434,1494,0.021025000000000002
21,climate,pass3,2121,1427,0.019572500000000003
21,climate,pass4,2422,1039,0.016445
22,climate,pass1,1992,1545,0.020430000000000004
22,climate,pass3,1679,1433,0.018527500000000002
22,climate,pass4,1980,1086,0.01581
23,climate,pass1,1519,1463,0.0184275
23,climate,pass3,1206,1354,0.016555
23,climate,pass4,1507,1075,0.014517500000000001
24,climate,pass1,2542,1440,0.020755000000000003
24,climate,pass3,2229,1423,0.0198025
24,climate,pass4,2530,1139,0.017715
25,climate,pass1,2322,1514,0.020945000000000002
25,climate,pass3,2009,1469,0.0197125
25,climate,pass4,2310,1061,0.016385000000000004
26,migration,pass1,2530,1519,0.021515
26,migration,pass2,1877,1005,0.014742500000000002
26,migration,pass4,2518,1044,0.016735
27,migration,pass1,2690,1586,0.022585000000000004
27,migration,pass2,2037,965,0.014742500000000002
27,migration,pass4,2678,1058,0.017275000000000002
28,migration,pass1,2305,1525,0.021012500000000003
28,migration,pass2,1652,1003,0.01416
28,migration,pass4,2293,1126,0.0169925
29,migration,pass1,1892,1445,0.019180000000000003
29,migration,pass2,1239,963,0.012727500000000003
