corpus,meta,frame,frame_label,n_present,n_applicable,pct,alpha,tier
climate,Climate Politics & Policies,conflict,Conflict,189,216,87.5,0.504,structural
climate,Climate Politics & Policies,human_interest,Human Interest,81,216,37.5,0.665,clears
climate,Climate Politics & Policies,economic,Economic,116,216,53.7037,0.719,clears
climate,Climate Politics & Policies,deservingness,Deservingness,37,216,17.1296,0.687,clears
climate,Climate Politics & Policies,responsibility,Responsibility,198,216,91.6667,0.318,structural
climate,Climate Politics & Policies,scientific,Scientific,95,216,43.9815,0.751,clears
climate,Climate Politics & Policies,crisis,Crisis,142,216,65.7407,0.516,unresolved
climate,Climate Politics & Policies,solutions,Solutions,164,216,75.9259,0.371,unresolved
climate,Climate Politics & Policies,victim,Victim,56,216,25.9259,0.762,clears
climate,Climate Politics & Policies,skepticism,Skepticism,58,216,26.8519,0.554,structural
climate,Climate Politics & Policies,securitization,Securitization,111,216,51.3889,0.382,structural
climate,Climate Politics & Policies,othering,Othering,31,216,14.3519,0.335,structural
climate,Climate Politics & Policies,agency,Agency,214,216,99.0741,-0.03,structural
climate,Environmental Harm & Natural Disasters,conflict,Conflict,58,135,42.963,0.504,structural
climate,Environmental Harm & Natural Disasters,human_interest,Human Interest,59,135,43.7037,0.665,clears
climate,Environmental Harm & Natural Disasters,economic,Economic,69,135,51.1111,0.719,clears
climate,Environmental Harm & Natural Disasters,deservingness,Deservingness,7,135,5.1852,0.687,clears
climate,Environmental Harm & Natural Disasters,responsibility,Responsibility,119,135,88.1481,0.318,structural
climate,Environmental Harm & Natural Disasters,scientific,Scientific,102,135,75.5556,0.751,clears
climate,Environmental Harm & Natural Disasters,crisis,Crisis,93,135,68.8889,0.516,unresolved
climate,Environmental Harm & Natural Disasters,solutions,Solutions,87,135,64.4444,0.371,unresolved
climate,Environmental Harm & Natural Disasters,victim,Victim,64,135,47.4074,0.762,clears
climate,Environmental Harm & Natural Disasters,skepticism,Skepticism,18,135,13.3333,0.554,structural
climate,Environmental Harm & Natural Disasters,securitization,Securitization,71,135,52.5926,0.382,structural
climate,Environmental Harm & Natural Disasters,othering,Othering,3,135,2.2222,0.335,structural
climate,Environmental Harm & Natural Disasters,agency,Agency,130,135,96.2963,-0.03,structural
climate,Economy & Finance,conflict,Conflict,94,112,83.9286,0.504,structural
climate,Economy & Finance,human_interest,Human Interest,18,112,16.0714,0.665,clears
climate,Economy & Finance,economic,Economic,95,112,84.8214,0.719,clears
climate,Economy & Finance,deservingness,Deservingness,14,112,12.5,0.687,clears
climate,Economy & Finance,responsibility,Responsibility,108,112,96.4286,0.318,structural
climate,Economy & Finance,scientific,Scientific,48,112,42.8571,0.751,clears
climate,Economy & Finance,crisis,Crisis,63,112,56.25,0.516,unresolved
climate,Economy & Finance,solutions,Solutions,101,112,90.1786,0.371,unresolved
climate,Economy & Finance,victim,Victim,23,112,20.5357,0.762,clears
climate,Economy & Finance,skepticism,Skepticism,26,112,23.2143,0.554,structural
climate,Economy & Finance,securitization,Securitization,41,112,36.6071,0.382,structural
climate,Economy & Finance,othering,Othering,16,112,14.2857,0.335,structural
climate,Economy & Finance,agency,Agency,112,112,100.0,-0.03,structural
climate,Alternative/Renewable Energy & Sustainability,conflict,Conflict,59,72,81.9444,0.504,structural
climate,Alternative/Renewable Energy & Sustainability,human_interest,Human Interest,12,72,16.6667,0.665,clears
climate,Alternative/Renewable Energy & Sustainability,economic,Economic,56,72,77.7778,0.719,clears
climate,Alternative/Renewable Energy & Sustainability,deservingness,Deservingness,5,72,6.9444,0.687,clears
climate,Alternative/Renewable Energy & Sustainability,responsibility,Responsibility,64,72,88.8889,0.318,structural
climate,Alternative/Renewable Energy & Sustainability,scientific,Scientific,43,72,59.7222,0.751,clears
climate,Alternative/Renewable Energy & Sustainability,crisis,Crisis,36,72,50.0,0.516,unresolved
climate,Alternative/Renewable Energy & Sustainability,solutions,Solutions,64,72,88.8889,0.371,unresolved
climate,Alternative/Renewable Energy & Sustainability,victim,Victim,15,72,20.8333,0.762,clears
climate,Alternative/Renewable Energy & Sustainability,skepticism,Skepticism,29,72,40.2778,0.554,structural
climate,Alternative/Renewable Energy & Sustainability,securitization,Securitization,25,72,34.7222,0.382,structural
