corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
climate,2014,conflict,Conflict,,all_outlets,77.7778,21,27
climate,2015,conflict,Conflict,,all_outlets,69.0476,29,42
climate,2016,conflict,Conflict,,all_outlets,76.9231,20,26
climate,2017,conflict,Conflict,,all_outlets,76.5957,36,47
climate,2018,conflict,Conflict,,all_outlets,82.7586,48,58
climate,2019,conflict,Conflict,,all_outlets,76.0,76,100
climate,2020,conflict,Conflict,,all_outlets,68.2243,73,107
climate,2021,conflict,Conflict,,all_outlets,68.0851,160,235
climate,2022,conflict,Conflict,,all_outlets,70.5882,144,204
climate,2023,conflict,Conflict,,all_outlets,71.7489,160,223
climate,2014,human_interest,Human Interest,,all_outlets,14.8148,4,27
climate,2015,human_interest,Human Interest,,all_outlets,16.6667,7,42
climate,2016,human_interest,Human Interest,,all_outlets,15.3846,4,26
climate,2017,human_interest,Human Interest,,all_outlets,31.9149,15,47
climate,2018,human_interest,Human Interest,,all_outlets,29.3103,17,58
climate,2019,human_interest,Human Interest,,all_outlets,41.0,41,100
climate,2020,human_interest,Human Interest,,all_outlets,33.6449,36,107
climate,2021,human_interest,Human Interest,,all_outlets,34.4681,81,235
climate,2022,human_interest,Human Interest,,all_outlets,36.7647,75,204
climate,2023,human_interest,Human Interest,,all_outlets,40.8072,91,223
climate,2014,economic,Economic,,all_outlets,77.7778,21,27
climate,2015,economic,Economic,,all_outlets,69.0476,29,42
climate,2016,economic,Economic,,all_outlets,53.8462,14,26
climate,2017,economic,Economic,,all_outlets,61.7021,29,47
climate,2018,economic,Economic,,all_outlets,74.1379,43,58
climate,2019,economic,Economic,,all_outlets,59.0,59,100
climate,2020,economic,Economic,,all_outlets,59.8131,64,107
climate,2021,economic,Economic,,all_outlets,62.1277,146,235
climate,2022,economic,Economic,,all_outlets,61.7647,126,204
climate,2023,economic,Economic,,all_outlets,57.3991,128,223
climate,2014,deservingness,Deservingness,,all_outlets,11.1111,3,27
climate,2015,deservingness,Deservingness,,all_outlets,14.2857,6,42
climate,2016,deservingness,Deservingness,,all_outlets,3.8462,1,26
climate,2017,deservingness,Deservingness,,all_outlets,2.1277,1,47
climate,2018,deservingness,Deservingness,,all_outlets,17.2414,10,58
climate,2019,deservingness,Deservingness,,all_outlets,12.0,12,100
climate,2020,deservingness,Deservingness,,all_outlets,7.4766,8,107
climate,2021,deservingness,Deservingness,,all_outlets,7.234,17,235
climate,2022,deservingness,Deservingness,,all_outlets,16.1765,33,204
climate,2023,deservingness,Deservingness,,all_outlets,14.3498,32,223
climate,2014,responsibility,Responsibility,,all_outlets,81.4815,22,27
climate,2015,responsibility,Responsibility,,all_outlets,92.8571,39,42
climate,2016,responsibility,Responsibility,,all_outlets,84.6154,22,26
climate,2017,responsibility,Responsibility,,all_outlets,82.9787,39,47
climate,2018,responsibility,Responsibility,,all_outlets,84.4828,49,58
climate,2019,responsibility,Responsibility,,all_outlets,91.0,91,100
climate,2020,responsibility,Responsibility,,all_outlets,91.5888,98,107
climate,2021,responsibility,Responsibility,,all_outlets,89.3617,210,235
climate,2022,responsibility,Responsibility,,all_outlets,89.2157,182,204
climate,2023,responsibility,Responsibility,,all_outlets,91.0314,203,223
climate,2014,scientific,Scientific,,all_outlets,66.6667,18,27
climate,2015,scientific,Scientific,,all_outlets,61.9048,26,42
climate,2016,scientific,Scientific,,all_outlets,50.0,13,26
climate,2017,scientific,Scientific,,all_outlets,70.2128,33,47
climate,2018,scientific,Scientific,,all_outlets,72.4138,42,58
climate,2019,scientific,Scientific,,all_outlets,55.0,55,100
climate,2020,scientific,Scientific,,all_outlets,53.271,57,107
climate,2021,scientific,Scientific,,all_outlets,44.2553,104,235
climate,2022,scientific,Scientific,,all_outlets,49.0196,100,204
climate,2023,scientific,Scientific,,all_outlets,53.3632,119,223
climate,2014,crisis,Crisis,,all_outlets,40.7407,11,27
climate,2015,crisis,Crisis,,all_outlets,45.2381,19,42
climate,2016,crisis,Crisis,,all_outlets,53.8462,14,26
climate,2017,crisis,Crisis,,all_outlets,53.1915,25,47
climate,2018,crisis,Crisis,,all_outlets,58.6207,34,58
climate,2019,crisis,Crisis,,all_outlets,60.0,60,100
climate,2020,crisis,Crisis,,all_outlets,64.486,69,107
climate,2021,crisis,Crisis,,all_outlets,62.1277,146,235
climate,2022,crisis,Crisis,,all_outlets,65.1961,133,204
climate,2023,crisis,Crisis,,all_outlets,64.574,144,223
climate,2014,solutions,Solutions,,all_outlets,66.6667,18,27
climate,2015,solutions,Solutions,,all_outlets,85.7143,36,42
climate,2016,solutions,Solutions,,all_outlets,73.0769,19,26
climate,2017,solutions,Solutions,,all_outlets,65.9574,31,47
climate,2018,solutions,Solutions,,all_outlets,82.7586,48,58
climate,2019,solutions,Solutions,,all_outlets,75.0,75,100
climate,2020,solutions,Solutions,,all_outlets,81.3084,87,107
climate,2021,solutions,Solutions,,all_outlets,82.9787,195,235
climate,2022,solutions,Solutions,,all_outlets,78.4314,160,204
climate,2023,solutions,Solutions,,all_outlets,81.6143,182,223
climate,2014,victim,Victim,,all_outlets,25.9259,7,27
climate,2015,victim,Victim,,all_outlets,30.9524,13,42
climate,2016,victim,Victim,,all_outlets,19.2308,5,26
climate,2017,victim,Victim,,all_outlets,25.5319,12,47
climate,2018,victim,Victim,,all_outlets,31.0345,18,58
climate,2019,victim,Victim,,all_outlets,25.0,25,100
climate,2020,victim,Victim,,all_outlets,19.6262,21,107
climate,2021,victim,Victim,,all_outlets,25.1064,59,235
climate,2022,victim,Victim,,all_outlets,29.4118,60,204
climate,2023,victim,Victim,,all_outlets,33.6323,75,223
climate,2014,skepticism,Skepticism,,all_outlets,29.6296,8,27
climate,2015,skepticism,Skepticism,,all_outlets,30.9524,13,42
climate,2016,skepticism,Skepticism,,all_outlets,23.0769,6,26
climate,2017,skepticism,Skepticism,,all_outlets,36.1702,17,47
climate,2018,skepticism,Skepticism,,all_outlets,29.3103,17,58
climate,2019,skepticism,Skepticism,,all_outlets,28.0,28,100
climate,2020,skepticism,Skepticism,,all_outlets,18.6916,20,107
climate,2021,skepticism,Skepticism,,all_outlets,23.8298,56,235
climate,2022,skepticism,Skepticism,,all_outlets,15.6863,32,204
climate,2023,skepticism,Skepticism,,all_outlets,18.8341,42,223
