corpus,outlet_clean,frame,frame_label,pct,n_present,n_applicable
climate,AD,conflict,Conflict,57.554,160,278
climate,AD,human_interest,Human Interest,46.0432,128,278
climate,AD,economic,Economic,51.0791,142,278
climate,AD,deservingness,Deservingness,8.6331,24,278
climate,AD,responsibility,Responsibility,90.6475,252,278
climate,AD,scientific,Scientific,41.3669,115,278
climate,AD,crisis,Crisis,56.4748,157,278
climate,AD,solutions,Solutions,83.4532,232,278
climate,AD,victim,Victim,26.259,73,278
climate,AD,skepticism,Skepticism,13.3094,37,278
climate,AD,securitization,Securitization,38.4892,107,278
climate,AD,othering,Othering,5.036,14,278
climate,AD,agency,Agency,100.0,278,278
climate,FD,conflict,Conflict,84.1727,117,139
climate,FD,human_interest,Human Interest,13.6691,19,139
climate,FD,economic,Economic,85.6115,119,139
climate,FD,deservingness,Deservingness,5.7554,8,139
climate,FD,responsibility,Responsibility,90.6475,126,139
climate,FD,scientific,Scientific,45.3237,63,139
climate,FD,crisis,Crisis,54.6763,76,139
climate,FD,solutions,Solutions,87.0504,121,139
climate,FD,victim,Victim,17.2662,24,139
climate,FD,skepticism,Skepticism,30.9353,43,139
climate,FD,securitization,Securitization,42.446,59,139
climate,FD,othering,Othering,8.6331,12,139
climate,FD,agency,Agency,97.8417,136,139
climate,NRC,conflict,Conflict,71.4286,85,119
climate,NRC,human_interest,Human Interest,35.2941,42,119
climate,NRC,economic,Economic,62.1849,74,119
climate,NRC,deservingness,Deservingness,13.4454,16,119
climate,NRC,responsibility,Responsibility,89.916,107,119
climate,NRC,scientific,Scientific,58.8235,70,119
climate,NRC,crisis,Crisis,63.0252,75,119
climate,NRC,solutions,Solutions,86.5546,103,119
climate,NRC,victim,Victim,26.8908,32,119
climate,NRC,skepticism,Skepticism,17.6471,21,119
climate,NRC,securitization,Securitization,45.3782,54,119
climate,NRC,othering,Othering,15.1261,18,119
climate,NRC,agency,Agency,97.479,116,119
climate,Telegraaf,conflict,Conflict,65.7895,50,76
climate,Telegraaf,human_interest,Human Interest,23.6842,18,76
climate,Telegraaf,economic,Economic,71.0526,54,76
climate,Telegraaf,deservingness,Deservingness,7.8947,6,76
climate,Telegraaf,responsibility,Responsibility,88.1579,67,76
climate,Telegraaf,scientific,Scientific,53.9474,41,76
climate,Telegraaf,crisis,Crisis,59.2105,45,76
climate,Telegraaf,solutions,Solutions,68.4211,52,76
climate,Telegraaf,victim,Victim,28.9474,22,76
climate,Telegraaf,skepticism,Skepticism,38.1579,29,76
climate,Telegraaf,securitization,Securitization,44.7368,34,76
climate,Telegraaf,othering,Othering,15.7895,12,76
climate,Telegraaf,agency,Agency,97.3684,74,76
climate,Trouw,conflict,Conflict,80.2326,207,258
climate,Trouw,human_interest,Human Interest,33.7209,87,258
climate,Trouw,economic,Economic,60.0775,155,258
climate,Trouw,deservingness,Deservingness,14.3411,37,258
climate,Trouw,responsibility,Responsibility,93.0233,240,258
climate,Trouw,scientific,Scientific,59.6899,154,258
climate,Trouw,crisis,Crisis,67.0543,173,258
climate,Trouw,solutions,Solutions,81.3953,210,258
climate,Trouw,victim,Victim,29.4574,76,258
climate,Trouw,skepticism,Skepticism,22.4806,58,258
climate,Trouw,securitization,Securitization,53.876,139,258
climate,Trouw,othering,Othering,10.0775,26,258
climate,Trouw,agency,Agency,98.8372,255,258
climate,Volkskrant,conflict,Conflict,74.3719,148,199
climate,Volkskrant,human_interest,Human Interest,38.6935,77,199
climate,Volkskrant,economic,Economic,57.7889,115,199
climate,Volkskrant,deservingness,Deservingness,16.0804,32,199
climate,Volkskrant,responsibility,Responsibility,81.9095,163,199
climate,Volkskrant,scientific,Scientific,62.3116,124,199
climate,Volkskrant,crisis,Crisis,64.8241,129,199
climate,Volkskrant,solutions,Solutions,66.8342,133,199
