corpus,year,frame,frame_label,pct,n_present,n_applicable
climate,2014,agency,Agency,100.0,27,27
climate,2015,agency,Agency,97.619,41,42
climate,2016,agency,Agency,92.3077,24,26
climate,2017,agency,Agency,100.0,47,47
climate,2018,agency,Agency,98.2759,57,58
climate,2019,agency,Agency,98.0,98,100
climate,2020,agency,Agency,100.0,107,107
climate,2021,agency,Agency,99.1489,233,235
climate,2022,agency,Agency,96.5686,197,204
climate,2023,agency,Agency,98.6547,220,223
migration,2014,agency,Agency,100.0,90,90
migration,2015,agency,Agency,98.4496,254,258
migration,2016,agency,Agency,97.8903,232,237
migration,2017,agency,Agency,97.9452,143,146
migration,2018,agency,Agency,97.6331,165,169
migration,2019,agency,Agency,98.1308,210,214
migration,2020,agency,Agency,100.0,293,293
migration,2021,agency,Agency,98.9324,278,281
migration,2022,agency,Agency,99.361,622,626
migration,2023,agency,Agency,96.5361,641,664
climate,2014,conflict,Conflict,77.7778,21,27
climate,2015,conflict,Conflict,69.0476,29,42
climate,2016,conflict,Conflict,76.9231,20,26
climate,2017,conflict,Conflict,76.5957,36,47
climate,2018,conflict,Conflict,82.7586,48,58
climate,2019,conflict,Conflict,76.0,76,100
climate,2020,conflict,Conflict,68.2243,73,107
climate,2021,conflict,Conflict,68.0851,160,235
climate,2022,conflict,Conflict,70.5882,144,204
climate,2023,conflict,Conflict,71.7489,160,223
migration,2014,conflict,Conflict,85.5556,77,90
migration,2015,conflict,Conflict,84.4961,218,258
migration,2016,conflict,Conflict,81.8565,194,237
migration,2017,conflict,Conflict,89.726,131,146
migration,2018,conflict,Conflict,88.1657,149,169
migration,2019,conflict,Conflict,83.6449,179,214
migration,2020,conflict,Conflict,81.57,239,293
migration,2021,conflict,Conflict,80.7829,227,281
migration,2022,conflict,Conflict,67.8914,425,626
migration,2023,conflict,Conflict,76.0542,505,664
climate,2014,deservingness,Deservingness,11.1111,3,27
climate,2015,deservingness,Deservingness,14.2857,6,42
climate,2016,deservingness,Deservingness,3.8462,1,26
climate,2017,deservingness,Deservingness,2.1277,1,47
climate,2018,deservingness,Deservingness,17.2414,10,58
climate,2019,deservingness,Deservingness,12.0,12,100
climate,2020,deservingness,Deservingness,7.4766,8,107
climate,2021,deservingness,Deservingness,7.234,17,235
climate,2022,deservingness,Deservingness,16.1765,33,204
climate,2023,deservingness,Deservingness,14.3498,32,223
migration,2014,deservingness,Deservingness,58.8889,53,90
migration,2015,deservingness,Deservingness,54.2636,140,258
migration,2016,deservingness,Deservingness,53.5865,127,237
migration,2017,deservingness,Deservingness,65.7534,96,146
migration,2018,deservingness,Deservingness,56.213,95,169
migration,2019,deservingness,Deservingness,50.9346,109,214
migration,2020,deservingness,Deservingness,56.6553,166,293
