benchmark_idx,corpus,label,human_value,llm_value,reason
14,,agency_present,,no,"human blank / non-binary, LLM annotated"
28,,agency_present,,yes,"human blank / non-binary, LLM annotated"
57,,agency_present,,yes,"human blank / non-binary, LLM annotated"
14,,conflict_present,,yes,"human blank / non-binary, LLM annotated"
28,,conflict_present,,yes,"human blank / non-binary, LLM annotated"
57,,conflict_present,,no,"human blank / non-binary, LLM annotated"
14,,crisis_present,,yes,"human blank / non-binary, LLM annotated"
25,migration,crisis_present,,yes,"human blank / non-binary, LLM annotated"
26,migration,crisis_present,,,not applicable to this corpus for either annotator
27,migration,crisis_present,,,not applicable to this corpus for either annotator
28,,crisis_present,,,not applicable to this corpus for either annotator
29,migration,crisis_present,,,not applicable to this corpus for either annotator
30,migration,crisis_present,,,not applicable to this corpus for either annotator
31,migration,crisis_present,,,not applicable to this corpus for either annotator
32,migration,crisis_present,,,not applicable to this corpus for either annotator
33,migration,crisis_present,,,not applicable to this corpus for either annotator
34,migration,crisis_present,,,not applicable to this corpus for either annotator
35,migration,crisis_present,,,not applicable to this corpus for either annotator
36,migration,crisis_present,,,not applicable to this corpus for either annotator
37,migration,crisis_present,,,not applicable to this corpus for either annotator
38,migration,crisis_present,,,not applicable to this corpus for either annotator
39,migration,crisis_present,,,not applicable to this corpus for either annotator
40,migration,crisis_present,,,not applicable to this corpus for either annotator
41,migration,crisis_present,,,not applicable to this corpus for either annotator
42,migration,crisis_present,,,not applicable to this corpus for either annotator
43,migration,crisis_present,,,not applicable to this corpus for either annotator
44,migration,crisis_present,,,not applicable to this corpus for either annotator
45,migration,crisis_present,,,not applicable to this corpus for either annotator
46,migration,crisis_present,,,not applicable to this corpus for either annotator
47,migration,crisis_present,,,not applicable to this corpus for either annotator
48,migration,crisis_present,,,not applicable to this corpus for either annotator
49,migration,crisis_present,,,not applicable to this corpus for either annotator
50,migration,crisis_present,,,not applicable to this corpus for either annotator
51,migration,crisis_present,,,not applicable to this corpus for either annotator
52,migration,crisis_present,,,not applicable to this corpus for either annotator
53,migration,crisis_present,,,not applicable to this corpus for either annotator
54,migration,crisis_present,,,not applicable to this corpus for either annotator
55,migration,crisis_present,,,not applicable to this corpus for either annotator
56,migration,crisis_present,,,not applicable to this corpus for either annotator
57,,crisis_present,,,not applicable to this corpus for either annotator
58,migration,crisis_present,,,not applicable to this corpus for either annotator
59,migration,crisis_present,,,not applicable to this corpus for either annotator
60,migration,crisis_present,,,not applicable to this corpus for either annotator
61,migration,crisis_present,,,not applicable to this corpus for either annotator
62,migration,crisis_present,,,not applicable to this corpus for either annotator
63,migration,crisis_present,,,not applicable to this corpus for either annotator
64,migration,crisis_present,,,not applicable to this corpus for either annotator
65,migration,crisis_present,,,not applicable to this corpus for either annotator
66,migration,crisis_present,,,not applicable to this corpus for either annotator
67,migration,crisis_present,,,not applicable to this corpus for either annotator
68,migration,crisis_present,,,not applicable to this corpus for either annotator
69,migration,crisis_present,,,not applicable to this corpus for either annotator
70,migration,crisis_present,,,not applicable to this corpus for either annotator
71,migration,crisis_present,,,not applicable to this corpus for either annotator
72,migration,crisis_present,no,,"human annotated, LLM pass not run for this corpus"
73,migration,crisis_present,,,not applicable to this corpus for either annotator
74,migration,crisis_present,,,not applicable to this corpus for either annotator
75,migration,crisis_present,,,not applicable to this corpus for either annotator
76,migration,crisis_present,,,not applicable to this corpus for either annotator
77,migration,crisis_present,,,not applicable to this corpus for either annotator
78,migration,crisis_present,,,not applicable to this corpus for either annotator
79,migration,crisis_present,,,not applicable to this corpus for either annotator
80,migration,crisis_present,,,not applicable to this corpus for either annotator
81,migration,crisis_present,,,not applicable to this corpus for either annotator
82,migration,crisis_present,,,not applicable to this corpus for either annotator
83,migration,crisis_present,,,not applicable to this corpus for either annotator
84,migration,crisis_present,,,not applicable to this corpus for either annotator
85,migration,crisis_present,,,not applicable to this corpus for either annotator
86,migration,crisis_present,,,not applicable to this corpus for either annotator
87,migration,crisis_present,,,not applicable to this corpus for either annotator
88,migration,crisis_present,,,not applicable to this corpus for either annotator
89,migration,crisis_present,,,not applicable to this corpus for either annotator
90,migration,crisis_present,,,not applicable to this corpus for either annotator
91,migration,crisis_present,,,not applicable to this corpus for either annotator
92,migration,crisis_present,,,not applicable to this corpus for either annotator
93,migration,crisis_present,,,not applicable to this corpus for either annotator
94,migration,crisis_present,,,not applicable to this corpus for either annotator
95,migration,crisis_present,,,not applicable to this corpus for either annotator
96,migration,crisis_present,,,not applicable to this corpus for either annotator
97,migration,crisis_present,,,not applicable to this corpus for either annotator
98,migration,crisis_present,,,not applicable to this corpus for either annotator
99,migration,crisis_present,,,not applicable to this corpus for either annotator
14,,deservingness_present,,yes,"human blank / non-binary, LLM annotated"
28,,deservingness_present,,no,"human blank / non-binary, LLM annotated"
57,,deservingness_present,,no,"human blank / non-binary, LLM annotated"
14,,economic_present,,yes,"human blank / non-binary, LLM annotated"
28,,economic_present,,yes,"human blank / non-binary, LLM annotated"
57,,economic_present,,yes,"human blank / non-binary, LLM annotated"
14,,human_interest_present,,yes,"human blank / non-binary, LLM annotated"
28,,human_interest_present,,no,"human blank / non-binary, LLM annotated"
57,,human_interest_present,,no,"human blank / non-binary, LLM annotated"
0,climate,humanitarian_present,,,not applicable to this corpus for either annotator
1,climate,humanitarian_present,,,not applicable to this corpus for either annotator
2,climate,humanitarian_present,,,not applicable to this corpus for either annotator
3,climate,humanitarian_present,,,not applicable to this corpus for either annotator
4,climate,humanitarian_present,,,not applicable to this corpus for either annotator
5,climate,humanitarian_present,,,not applicable to this corpus for either annotator
6,climate,humanitarian_present,,,not applicable to this corpus for either annotator
7,climate,humanitarian_present,,,not applicable to this corpus for either annotator
8,climate,humanitarian_present,,,not applicable to this corpus for either annotator
9,climate,humanitarian_present,,,not applicable to this corpus for either annotator
10,climate,humanitarian_present,,,not applicable to this corpus for either annotator
11,climate,humanitarian_present,,,not applicable to this corpus for either annotator
12,climate,humanitarian_present,,,not applicable to this corpus for either annotator
12,climate,humanitarian_present,yes,,"human annotated, LLM pass not run for this corpus"
13,climate,humanitarian_present,,yes,"human blank / non-binary, LLM annotated"
14,,humanitarian_present,,,not applicable to this corpus for either annotator
15,climate,humanitarian_present,,,not applicable to this corpus for either annotator
16,climate,humanitarian_present,,,not applicable to this corpus for either annotator
17,climate,humanitarian_present,,,not applicable to this corpus for either annotator
18,climate,humanitarian_present,,,not applicable to this corpus for either annotator
19,climate,humanitarian_present,,,not applicable to this corpus for either annotator
20,climate,humanitarian_present,,,not applicable to this corpus for either annotator
21,climate,humanitarian_present,yes,,"human annotated, LLM pass not run for this corpus"
22,climate,humanitarian_present,,,not applicable to this corpus for either annotator
23,climate,humanitarian_present,yes,,"human annotated, LLM pass not run for this corpus"
24,climate,humanitarian_present,,,not applicable to this corpus for either annotator
25,climate,humanitarian_present,,,not applicable to this corpus for either annotator
25,migration,humanitarian_present,yes,,"human annotated, LLM pass not run for this corpus"
28,,humanitarian_present,,no,"human blank / non-binary, LLM annotated"
57,,humanitarian_present,,no,"human blank / non-binary, LLM annotated"
14,,othering_present,,yes,"human blank / non-binary, LLM annotated"
28,,othering_present,,yes,"human blank / non-binary, LLM annotated"
57,,othering_present,,yes,"human blank / non-binary, LLM annotated"
0,climate,policy_present,,,not applicable to this corpus for either annotator
1,climate,policy_present,,,not applicable to this corpus for either annotator
2,climate,policy_present,,,not applicable to this corpus for either annotator
3,climate,policy_present,,,not applicable to this corpus for either annotator
4,climate,policy_present,,,not applicable to this corpus for either annotator
5,climate,policy_present,,,not applicable to this corpus for either annotator
6,climate,policy_present,,,not applicable to this corpus for either annotator
7,climate,policy_present,,,not applicable to this corpus for either annotator
