benchmark_idx,corpus,corpus_type,label,human,llm,human_raw,llm_raw,in_scope
0,climate,climate,conflict_present,no,yes,no,yes,True
0,climate,climate,human_interest_present,no,no,no,no,True
0,climate,climate,economic_present,no,no,no,no,True
0,climate,climate,deservingness_present,no,no,no,no,True
0,climate,climate,responsibility_present,yes,yes,yes,yes,True
0,climate,climate,securitization_present,no,yes,no,yes,True
0,climate,climate,othering_present,no,no,no,no,True
0,climate,climate,agency_present,yes,yes,yes,yes,True
0,climate,climate,humanitarian_present,,,,,False
0,climate,climate,security_present,,,,,False
0,climate,climate,policy_present,,,,,False
0,climate,climate,scientific_present,yes,yes,yes,yes,True
0,climate,climate,crisis_present,yes,yes,yes,yes,True
0,climate,climate,solutions_present,yes,yes,Yes,yes,True
0,climate,climate,victim_present,no,no,no,no,True
0,climate,climate,skepticism_present,no,no,no,no,True
1,climate,climate,conflict_present,no,no,no,no,True
1,climate,climate,human_interest_present,no,no,no,no,True
1,climate,climate,economic_present,yes,yes,yes,yes,True
1,climate,climate,deservingness_present,no,no,no,no,True
1,climate,climate,responsibility_present,yes,yes,yes,yes,True
1,climate,climate,securitization_present,no,no,no,no,True
1,climate,climate,othering_present,no,no,no,no,True
1,climate,climate,agency_present,yes,yes,yes,yes,True
1,climate,climate,humanitarian_present,,,,,False
1,climate,climate,security_present,,,,,False
1,climate,climate,policy_present,,,,,False
1,climate,climate,scientific_present,no,yes,no,yes,True
1,climate,climate,crisis_present,no,no,no,no,True
1,climate,climate,solutions_present,yes,yes,yes,yes,True
1,climate,climate,victim_present,no,no,no,no,True
1,climate,climate,skepticism_present,no,no,no,no,True
2,climate,climate,conflict_present,yes,yes,yes,yes,True
2,climate,climate,human_interest_present,no,no,no,no,True
2,climate,climate,economic_present,yes,yes,yes,yes,True
2,climate,climate,deservingness_present,no,no,no,no,True
2,climate,climate,responsibility_present,no,yes,no,yes,True
2,climate,climate,securitization_present,no,yes,no,yes,True
2,climate,climate,othering_present,no,no,no,no,True
2,climate,climate,agency_present,yes,yes,yes,yes,True
2,climate,climate,humanitarian_present,,,,,False
2,climate,climate,security_present,,,,,False
2,climate,climate,policy_present,,,,,False
2,climate,climate,scientific_present,yes,yes,yes,yes,True
2,climate,climate,crisis_present,yes,yes,yes,yes,True
2,climate,climate,solutions_present,no,no,no,no,True
2,climate,climate,victim_present,no,yes,no,yes,True
2,climate,climate,skepticism_present,yes,yes,yes,yes,True
3,climate,climate,conflict_present,yes,yes,yes,yes,True
3,climate,climate,human_interest_present,no,no,no,no,True
