sheet,variant,label,n,human_yes,llm_yes,raw,kappa,alpha,kappa_max,pabak
first-pass,A,crisis,26,0.8076923076923077,0.7307692307692307,0.6153846153846154,-0.07438016528925595,-0.0625,0.7851239669421486,0.23076923076923084
first-pass,A,othering,100,0.22,0.62,0.54,0.18899858956276458,0.06055008210180646,0.2947813822284908,0.08000000000000007
first-pass,A,responsibility,100,0.77,0.88,0.85,0.4911804613297151,0.48311688311688317,0.6268656716417912,0.7
first-pass,A,conflict,100,0.58,0.8,0.76,0.4690265486725665,0.44179523141654997,0.5132743362831858,0.52
revision 1,A,crisis,26,0.6538461538461539,0.7307692307692307,0.8461538461538461,0.6413793103448275,0.6458333333333335,0.8206896551724139,0.6923076923076923
revision 1,A,othering,100,0.19,0.62,0.55,0.21657381615598886,0.07096171802054163,0.25139275766016717,0.10000000000000009
revision 1,A,responsibility,100,0.81,0.88,0.89,0.5839636913767018,0.5821721702615005,0.7352496217851741,0.78
revision 1,A,conflict,100,0.61,0.8,0.79,0.5161290322580646,0.4976559682654167,0.5622119815668202,0.5800000000000001
first-pass,B,crisis,26,0.8076923076923077,0.6923076923076923,0.5769230769230769,-0.1085271317829457,-0.10650887573964507,0.6976744186046511,0.15384615384615374
first-pass,B,othering,100,0.22,0.71,0.47,0.14183937823834183,-0.059893478042407855,0.20660621761658024,-0.06000000000000005
first-pass,B,responsibility,100,0.77,0.91,0.8,0.28212491026561415,0.2596726190476196,0.49748743718592975,0.6000000000000001
first-pass,B,conflict,100,0.58,0.83,0.75,0.44096601073345265,0.4019713907921626,0.44096601073345265,0.5
revision 1,B,crisis,26,0.6538461538461539,0.6923076923076923,0.8846153846153846,0.7382550335570469,0.7428571428571427,0.912751677852349,0.7692307692307692
revision 1,B,othering,100,0.19,0.71,0.46,0.14312916534433515,-0.0854545454545459,0.17486512218343378,-0.07999999999999996
revision 1,B,responsibility,100,0.81,0.91,0.84,0.3490642799023593,0.33887043189368793,0.5931651749389747,0.6799999999999999
revision 1,B,conflict,100,0.61,0.83,0.78,0.48525970987365474,0.45709325396825407,0.48525970987365474,0.56
