label,scope,n,n_human_yes,human_yes,llm_yes,raw_agreement,cohens_kappa,krippendorff_alpha,kappa_max,pabak,kappa_ci_low,kappa_ci_high,tier,tier_reason
victim,climate-only,40,12,0.3,0.3,0.9,0.761904761904762,0.7648809523809524,1.0,0.8,0.5172413793103446,0.9459459459459459,clears 0.6,
scientific,climate-only,40,18,0.45,0.525,0.875,0.7512437810945275,0.7529706066291433,0.8507462686567167,0.75,0.5287834634001779,0.9473684210526315,clears 0.6,
economic,shared,114,47,0.41228070175438597,0.5,0.8596491228070176,0.7192982456140351,0.718362282878412,0.8245614035087718,0.7192982456140351,0.5868263473053893,0.8414268433451849,clears 0.6,
deservingness,shared,114,44,0.38596491228070173,0.39473684210526316,0.8508771929824561,0.6867119301648884,0.688060787325196,0.9815712900096992,0.7017543859649122,0.5427632590350949,0.8133595284872297,clears 0.6,
human_interest,shared,114,33,0.2894736842105263,0.30701754385964913,0.8596491228070176,0.6648291069459757,0.6661764705882354,0.9581036383682469,0.7192982456140351,0.49949039521305183,0.8051551211219716,clears 0.6,
humanitarian,migration-only,75,32,0.4266666666666667,0.5466666666666666,0.8266666666666667,0.6580147316730971,0.6553993951254226,0.7632409680813752,0.6533333333333333,0.49793288824430193,0.8136348284745116,clears 0.6,
policy,migration-only,75,57,0.76,0.88,0.88,0.603174603174603,0.5962059620596208,0.603174603174603,0.76,0.3478260869565219,0.8149263721552873,clears 0.6,
security,migration-only,75,19,0.25333333333333335,0.38666666666666666,0.8133333333333334,0.579663730984788,0.573937908496732,0.6997598078462771,0.6266666666666667,0.389792899408284,0.7551169979392407,below 0.6 — unresolved,"kappa_max=0.700 permits >=0.6, so the marginals are not the constraint — the two coders disagree about which articles qualify"
skepticism,climate-only,40,4,0.1,0.225,0.875,0.5535714285714286,0.5464982778415615,0.5535714285714286,0.75,0.18604651162790664,0.8749999999999999,below 0.6 — structural,"base-rate ceiling: kappa_max=0.554 < 0.6, so 0.6 is unreachable given marginals (0.10 vs 0.23) (aggravated by small subsample n=40, wide CI)"
crisis,climate-only,40,24,0.6,0.675,0.775,0.5161290322580645,0.5192697768762677,0.8387096774193546,0.55,0.21126760563380284,0.7802197802197802,below 0.6 — unresolved,"kappa_max=0.839 permits >=0.6, so the marginals are not the constraint — the two coders disagree about which articles qualify (aggravated by small subsample n=40, wide CI)"
conflict,shared,114,68,0.5964912280701754,0.7982456140350878,0.7807017543859649,0.5043478260869565,0.4827271898641874,0.5439999999999998,0.5614035087719298,0.3488895606340977,0.6588103254769921,below 0.6 — structural,"base-rate ceiling: kappa_max=0.544 < 0.6, so 0.6 is unreachable given marginals (0.60 vs 0.80)"
securitization,shared,114,12,0.10526315789473684,0.2982456140350877,0.7894736842105263,0.38211382113821135,0.3492594362159579,0.43360433604336057,0.5789473684210527,0.20236486182219254,0.5608753161701242,below 0.6 — structural,"base-rate ceiling: kappa_max=0.434 < 0.6, so 0.6 is unreachable given marginals (0.11 vs 0.30)"
solutions,climate-only,40,25,0.625,0.75,0.725,0.3714285714285714,0.368,0.7142857142857143,0.44999999999999996,0.07210501078877973,0.6712328767123288,below 0.6 — unresolved,"kappa_max=0.714 permits >=0.6, so the marginals are not the constraint — the two coders disagree about which articles qualify (aggravated by small subsample n=40, wide CI)"
othering,shared,114,20,0.17543859649122806,0.42105263157894735,0.7017543859649122,0.3353909465020574,0.2906249999999999,0.4526748971193415,0.4035087719298245,0.17617017562838416,0.48702351033559926,below 0.6 — structural,"base-rate ceiling: kappa_max=0.453 < 0.6, so 0.6 is unreachable given marginals (0.18 vs 0.42)"
responsibility,shared,114,82,0.7192982456140351,0.8771929824561403,0.7719298245614035,0.3183072677092916,0.29503105590062084,0.5280588776448945,0.5438596491228069,0.11198860204578652,0.5038937242327074,below 0.6 — structural,"base-rate ceiling: kappa_max=0.528 < 0.6, so 0.6 is unreachable given marginals (0.72 vs 0.88)"
agency,shared,114,104,0.9122807017543859,0.9824561403508771,0.8947368421052632,-0.03012048192770943,-0.050925925925924265,0.3132530120481937,0.7894736842105263,-0.06600660066006532,0.0,below 0.6 — structural,"base-rate ceiling: kappa_max=0.313 < 0.6, so 0.6 is unreachable given marginals (0.91 vs 0.98)"
